SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Base,0xd1194b9debe0ba37993851b3831887f5cbd66f9f41f85dfac9ecc13aca7c9dab,Gnosis,0x3d3dd441f395bf394f8835a1c695e555f572c3b1d8c663a2c9f319e1afe47206,0x833a0ca6f36f052fc4c3a2377bbb29cb68340350,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x4a93b00e6c8b50d378540d82f34a92031002a7ab90c73cda624c99afe5437f10,Gnosis,0x5eee49b0b52339dced43690b07e7bf77bc79870551f8a642bb79167e22e46f97,0xf43567b703aeebc97a75f16cad41cd0d8ce009ce,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x76f2d39918dd8a832754b537c75585b398dfb3f249f01a88ccea1a149afc4949,Gnosis,0x59cb088143f70d1594e3d71bce43b2c283e546fbb89dee3808245221e3744b4d,0xd96e9b8dd40a3a7e8860a7d87844a460d2877016,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x29f44ba02cd279fb7510a42126b75a988d9db050f53244edc5219c0e508e555d,Gnosis,0xafa4f80365118aec83c20c5fe4ca5a9e57255e606be31fc606f535fcd64d564f,0x61ccf76f7173b194eb761ed8802658c9465f352f,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0xc0f125533b2cc7bee843d469012e3af4b5b29bce59deec9699839815ac1f7cfc,Gnosis,0x526e8abbd9476b7e9888b78eacefd078de9d326993930e6f5a0358d707916238,0xbea3814872dcbb6e31159153f0fcdcfc65e66c47,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0xad0724d8ca87881cd504e95bc3656f40cd13829a3cfcacaab49d9302107c6e22,Gnosis,0xec4788b463a6ee301994095e101c8e822f0eebf832d0ebd56c9c2f1fc4fbf9f9,0x304b5f2de9420b578b9a0f99f136e026d7e69848,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0xef867f41ea0bcc55627e3cb39d55b7cfb90e002f21bb51df64cc7918d158047f,Gnosis,0x0eacaf3c01007eef0dde6ed264521f9b9cc78cc04212ff25737c0867097f6b0b,0x5584a74ce1a75e1d259ee7e844afb7da9f778e9a,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x9c0fdcdf8eead748f0b74281c47760f7ad3837fb8cc345ad586f9a14ae1fd1a1,Gnosis,0x279d35f9bfe421bf222cce6e42a829d9b50adfa4950fb80028b3cbc972ce7df7,0x63908b3355e1612dfcd60e074ac19f3f9db3eef9,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x96f0ac405bac786b131b4968ed14b75ea7753936f8d8e2004acf760181416b0d,Gnosis,0xe1c93cc3baa96591e66485769935429472d3b597ec1b9e642df4c8e4e767ba5f,0xaa082ccb8c9295289184ee1b9aec004748a12746,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0xdf56dfbfb19294776353b2558608e0a83a34d3a7d80c72000afaaf6313fbbe4a,Gnosis,0x501b1af9ac53bdf709108bceb5aec374557ab3166a010349e71c1f2feb2b97f3,0x89d6dd3fc760e8a652011ab4ef4b873997b91fb8,2023-09-20 10:30:23,Angle,,,1695205823,13
Base,0x4a3bbda70022ca5a7d17ec490fa68a212a61d1a68c6309233ec827bf7212cb41,Gnosis,0xcd93949fbe8f1997692dc629f02b27c7c017a9b9caccabe737d53b098d0cff1d,0xdc6d29d2ae0b8c9af0982fffe3b8d67b6f27f2ef,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x44fa16e235661f7bbb5edb45f01b4802d1f27c9fd60a68882b58c6a4eb36e560,Gnosis,0x3ebe1d95ab9e3ac7c76c188c96b780148abe50c3641f283f31e6a95ba12910ae,0x034054f3f82422b49ec855f1ff9df2c08b861fba,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0xfb0b40da66cfa0d2e271eaf94181d85680434f68238026cf15188645b61d2523,Gnosis,0x883ddfeea6bff09b0ffad53e1c77b32a3876b01af3dfa9a2b4bc8cb66b580191,0xda5b0c5de350b6a186555ca6dfa32fcc0bd12026,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x962f41434d7849f54a0c1e0014006d14e18d470d883e221fbbb13381ef898ed0,Gnosis,0x71fa374b7391512ffb67d0bbf4365a3cb5e0c8eead28e6f846a0d69298c0596e,0xb73434516670dba31a6dce76ccca45a72549ab50,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x50831fcc0a9bc2d0370bbeb9982413571a25f072db6e8c7418488065cf4c70f5,Gnosis,0x5e649564a733196436df590b3a1823d61233d8ba6d66c9b6f9a8c98d29810842,0x05327139c490cffe72b241e96cdc0431ded68b69,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x831fc2e22f842b1c27c0409174edb3210ca3b45770bcf46b51496e17d1504277,Gnosis,0x2eba7ac5e0f7d7134a98e2bfd4bf65747ae49133b3112b18319757db4bf226dd,0x7ed66051af6112cbd9bacc331b7efc24bfc3b77d,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0xc1907edf55a004df0a056165a4e35a141687ef5308d5cb1cbdebc834643498f4,Gnosis,0xda227629f63e1d21f53cb466f192fec0e3e05b2f14e058b9ce2638e40ec3d37a,0xd20d44f603c5e302525af8680dda01db600c8a4d,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0xfed49118af95125c64324b76ea10dc7dad94e4731910e62f791300695465d532,Gnosis,0x7ce80a904f1238de0c01b4b1d6fbcf5f4726de9e771e55919fec6f8f58bbcc0a,0x4965c5d43ca2ad11b338e876b87494f71c94a33f,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x2b296ba72fe08d93ea70081cbc52d8eed979b4ebc32bcd134d43a3849811efc7,Gnosis,0x56ba175c7bb61e1cc8cec7a235be17a777dd9027c1409041d4456a8f4ea1ab7f,0x503dc533c3b5ea172b25308411684cdc44e485d9,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0xdd03fb1aded5a14ad92129d30ed8926735885d53618f1a7e9e2f610145cf2920,Gnosis,0xc3fc2e3e9649f21e0e6cc9c79605577f06697cc259bdc6dd3283ab0fb8a8d7ae,0xc1cd9d37b27b69435a11fdfc044b742015a4afa8,2023-09-19 11:16:41,Angle,,,1695122201,10
Base,0x342d81c02c00004503cfd3914dbe0a82ff80b25457cc52cdcf8e8b633ab0b4da,Gnosis,0xa67a294fb59e1a23f1f6798e29f2566d0b7125c14edf62659cab53fe8c177f17,0x4a364ce4a85453080f53b4d44c737a5461670303,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0x09e95c383036c0dd8f1c5d9655695d7151928962806c41707e9c88910fd5c6c2,Gnosis,0x803bc9a6f2b3183577709ed041b310c78f60eb514648ece2b2ffeb563ef8fddd,0xde93459139258706e8b89cdd5e1c3097eceab355,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0x0bb25e08ef1253c716d3874bdabc9105067a0f71fc88f9d2abccf512413a5c32,Gnosis,0x98d9563c9046a206852cf33720381184a87fd3870d8c4d9bf01541c23458cdec,0x9d18c5c10fedb76cb5379223e16618a3e0e3bf34,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0xdd84927cf3101b36642fe91fdec3a5e547cf064446d9395949ab12cbe7f0e34d,Gnosis,0xa913162e3bc8273ee3b2465e2108fe24c450201b20babc6462eee55fb560834b,0x78912b4983923445dcb0981381f95471ded8d75e,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0x96028aa2a4559d654850608e662c8f40193f159c1b14933f41bbb9eee62ff818,Gnosis,0xbdd1c3fac3c419b048f3084e86bb5b23b5535116905021f0bf2f95b2eac95a98,0x9d7de9c756bbbe25090c429abbdab541d85630c4,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0xdb90fadd32a6286a9964de1804b227633e88fc012be0b5d3b6d5eb61314243ff,Gnosis,0x6e48038e672b97eaa760b78b50ad154794a3c72f16ac13b078eb50ddbea53eb7,0x6dc661a7622ad4519e40a90c6d300be4291e4034,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0x7d96059e5121b36fff978d58c6e400b6cc96913faa0a4769d5e24f5130080131,Gnosis,0x208fb17ba5ea8feceee8908d2707d2e97e0edc4ff599bdf21d6ea278d7f43bba,0xed509e38bcf1cc7f3f8b2f50f021d4c9c4049af9,2023-09-19 12:14:03,Angle,,,1695125643,9
Base,0xe9eee9c7e46ece2fd0e37c778bad5673f12f728cb19599e46866a1abfee73022,Gnosis,0x158512846945bad03200742ed760c4789e435d5c96c382206dd3d1cb1e1dc57c,0x71c8ce618c2e663eb6065a13a33bf6aceb3a7d1d,2023-09-20 14:01:51,Angle,,,1695218511,5
Base,0x6c8769189b82e1885d97492101b9ecb6efa3a828c6b4c7787ca59f79b25db0b9,Gnosis,0x2d20c29858202d10f3d64c4a8f74e4f1418a9af288c5ec0eeb4e660b47641190,0xe313c949255b8474b542b10035eb834a7917ffc6,2023-09-20 14:01:51,Angle,,,1695218511,5
Base,0x3d3d2f9a32c78d45ab8d9eb7e2854e55f54a3e37f94e396cc42092bae37a0eb7,Gnosis,0xe32b7ac6da8d52087a4723738c4db53b14d59ddbcf0ba14d1853cb355a48c443,0x70774555fe9467d0178eb6bf2f34196e6030bc53,2023-09-20 14:01:51,Angle,,,1695218511,5
