SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Polygon zkEVM,0x86cfd294e3b55c59afbadd4139b3bca1ac92f078b7730f93429178abeefaa449,Avalanche,0xe587eb19c5a34971e42da1ed6feafb8e4bc13b79c649ab25b01e920de27824a4,0xb0a54e69385dbaa2798e6de41540e9ac681b76fc,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x761e64e812854d9f718531e33410d9fe6a5a101287032609179802ee9aceb3f7,Avalanche,0x4492b62ae7e1299d19c9e6e377ab94fdc7a64eee3a7ba77283871525a9847b0d,0xfa4654626f4f3198d85f0a975fdba47aa542ba55,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x52e9b8307daa6c03df936d59382f34f9c9799e71b845d2032332c660c6768b07,Avalanche,0xf2bbb89b46e0035a890aec554960f22daeaa2f37fbfccf649444d3df250cfd9d,0x96ca76f53dd4fe1580dafdd2ec45124a5966b4f6,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x413e0e2ee934f476bd1db17ece4b98a62da7dbef222644498f9cae974d405870,Avalanche,0x4ffaf12d8ce08e4dd932a2b44a0d2f65ea497d4393a6157f178061f1950690d2,0xcffa75a6808c7ca6391ae7cf76bb37afa86e051d,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0xea73095258b199e522cfbfc71ec51230732c75bb7677deaacedb166871d5133f,Avalanche,0x65bf86cdeb37c604774d69984cae209ee0d508341d3e0acfddff2ba8e0407657,0xeaad8919e6aca43590d0ac0627464b4d2b7efd29,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x1087b17504e872422ef48f7aad1ad13b865c28c619b8adc3b3775f447914a0f6,Avalanche,0xae3b09994ce8f34d5d29728fc8151e86e7ace4173e03c818d750d4b5e6b179ab,0x11b6e324a535a4525d4ce08133a0f4d1ea397f08,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0xdf6ca2777296a58cb1cc87dc6d720ff8bea144dc5d6acc230ee631e305794ead,Avalanche,0xf07fa60e9720f35194a939d646971f37dec0f0ae5311827d4ea2465be2002593,0xc0990ef72c08510cb5b06220496754105006568d,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x6a843b1a24902fd6bce670ac3ae164ec1bf313f8673d47ebcfa364aacc612bd7,Avalanche,0xb875ce3cb987e8cfb2ee72920bd345235dbc0c4e718e024d1f113ff9ef4bb185,0xc69dc73fa22a1d925e6eb17ca7ea44b150a418f9,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x0a6a72f11cad6735a28cea0a44dd2e18e8ae347f0a96f10acdd01c02827021ba,Polygon,0xd1f003ea67c23e252926aeb90be9e2d276a6f39ca0075f820852b893c34ac222,0xc5ddcaa49b24d95e25b10381c6f128c475977104,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0xe8c5298d62b5304481fae64769d40aa576df65d8001bc8cfc1ba131f1cf2406d,Avalanche,0x8a808bac6e1dbdc83200e8a01ffab88de9d441b262f53e761adb0ed1512a8307,0x3120b4d7aa46999e69cddef207c58af0ccba1edc,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0x863758ab5066ddcb82be6f10be95fe3bbced1a2e227617c1bf022319e127ddba,Avalanche,0x3caaa0f8e1ef4e2a132df41e03a7f998f746b4a96da6137a2cf0b259fe3432c2,0x55325a8c853a52353ec86a0d4e24fb666a46decd,2023-08-09 09:42:39,Angle,,,1691574159,21
Polygon zkEVM,0xf33a66586b6a2047b2e1b15c6fd67998f78bdcf4ea544e96054c16fa0bca4fd5,Arbitrum,0x5677d40f63b46df3d9843a04c4abd88b99e24a5b6eb46712917594ca8ff9ed65,0x14c608c1b7ff5881bcf8db178d4421e070df440b,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0x0724cfa53bf2a77dd433570c474c990fdb63a5ceefe49a1adf4f3387a1db7e58,Arbitrum,0x8a37a226d129ea88148ef294ae68c903b72e6d2a9005cdcf6519060d01ca861e,0x709e7668a9c3b36bcd89955ccc6d649ce319c4cc,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0xdf15575acc4cb9468657e93fb1e0f86ea4114183748df3d2195ac03fa872c48b,Arbitrum,0xd5f8d318780116c8154add8308c1e157cef062012aca020666e0044273dbe69a,0xa4d6ebc143138bd1de06f1e557f604e5e78363ea,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0xe8e10df97363884420d2f61ec8cd59eee041fb691cdb7022c615f57b08fc7b16,Arbitrum,0x133a17f6711ff97e5947508ac761faced1556b026ef72e6db29323ad8511efc9,0x7aed210782dc788d269bb7ec763d2377180a4a58,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0x3329e908e8fbcacac6f509b3e0e006e3a7cf0499d78ff7348369b254f344c98a,Arbitrum,0xe8aaf0c1f75d862ee8eb60d0fb065bea67441ce4ecaa75cec220ee1b22c19532,0xa6d99b930d59df35bb1ccd833e53b7c343dd2390,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0x467199db9dbbcb4d23a9c67f4b3d643e43bb0bed77bd8c1e30df0a3e45bae0c4,Arbitrum,0x3fa2edb36de5e7fb174893aa32dbf8f9b0331f7bb134c6502fd3f90c87c19b99,0x4b81a39f64049273737a6823b48cac2d40f5a383,2023-08-09 07:53:32,Angle,,,1691567612,20
Polygon zkEVM,0xbe57dc5526c7e19750e9d7b92c3b3e3ea98325506f8da79d49211d1ad74dbddb,BNB Chain,0xd3f4f9c328ed8f5b9359cd4c66c2e5b45ffe2da96ea9bb596b28407edb31c328,0xf538f123fc8465ade48e5bcb452ab0490f550238,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xa6c56cb2901c8e9f545cc773f6c0fc9a61035577ec4effd0e75c913776f191f1,BNB Chain,0xc63aa1b8bb755104ebcbc3b494e6667e3b758c67dbbc82fb94f61631a3ff70d0,0x38d0142e877b030cad936b35910a0b2479935b20,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xdd3a54f411860374c01382f49e81a348a2f88d4e4740aafbf7d1fa0dccb4d382,BNB Chain,0x33d53284f286a9bbccbc5b4ee6cbe0153c7aee13ca4010ffc404d1debcd4a952,0x5251d09ad6df705f6c7f6ae908ec6bcf40a125b4,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0x58c11cc5b5a9b3bc0c5d0ced446406d9980381aef7bdb8943ee43633e67e15bf,BNB Chain,0x1fb4f5277dc02dad0ecbc1c0bcc13c11134bca21e5bf6e0b7cd55598c4493000,0xab24c433b3831f2da059c537ae253ac0b2c11cb9,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xe75ed1b7711504e7ed1ccf6375491f37c2a1a8d35a6dc748d00740c49b1f352a,BNB Chain,0xa7d0cc039b41fa49a394c8e817e66fe30365609364e2baf1954ccf5243918bc0,0xe8f43e8736ab15fc5fdefef4e92b7805ff2ac16e,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xdf4b298595d0072ad207bd26b41d9f527da5f8dd4e3c854db351334c90e7843a,BNB Chain,0x5b184c7765a582c20fe3a9db4d92c951d177ecf8c1d266037392e1b700754df5,0x481c01126b845d6acd711926a3f42eb12b636fc1,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xb21ad8b3eef09bd51193085bd8de6273b4d1b77ddb3ade3165f9ab1da1c8cd3a,BNB Chain,0xec8d6fdd0b07fd301a1f01896d4b21d88540846892c7c0ce14d3e95c1b61f3b3,0xaa8c3b63bee078d9ac29641c7bf3f130cfdcb1a8,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xca719b2bbf539b8c9f9aa49fda65a00489fde0d3ec3351998d76c6a6e657b8f8,BNB Chain,0xc6b6384bb5c2593cef6bd03cf7a7e5a96b007a83bd3c9a3a57e00240295b7fef,0x10e8ccbd21cd1d0b2bc0af221f658fee30fc88b9,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0xc24dfbfc8b8ce0dbbc199806f09134563a74d29c68af5a2fdf42b184ba79461c,BNB Chain,0xad4a2fc5785f2670ba621fd218ad8df69221ae503772e45fc78978050bbb0322,0x347c91133dd278cf9dddab0258d23f4933bcd2d4,2023-08-10 11:33:02,Angle,,,1691667182,19
Polygon zkEVM,0x645214e3d7606a7b83f99898219267afd827060cb503dd528e45b2da03c6c4b4,BNB Chain,0x95dd0b5d6579feeb78fab598bf1d5c801da7c8da22777651806a9e61278cf64b,0x4a11077d67ee39c3383377e267bffabc55eb8d03,2023-08-10 11:33:02,Angle,,,1691667182,19
