SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Optimism,0x07aa93e66e15f946c9e1c000843fcbe6f906cf4999b0f5a9af554e8b557420ae,Arbitrum,0x6aed8e02f968fdd33f9aa1336981b8d518f8c40127431d18e3eb6ac9208e577e,0x361c3e9d1cd4b6c534cdbad6e6c1b9d91559ec2e,2023-04-09 01:54:49,Bitcoin Bridge,,,1681005289,128
Optimism,0x900b9944fd4660a11d10c2b7c63c82121b924e3ab27a07a093f0a46fe979de48,Arbitrum,0xbe2a40aa3ac4fb905bf5376af7bbb4df55615ff37c192c06eb4872fdc4007080,0x63f42ad9a3cd395699c6728ff4b48adc9eaec9e3,2023-04-09 01:54:49,Bitcoin Bridge,,,1681005289,128
Optimism,0x07f7dc1993481ca3e5c9549523a72c9f10be073a3ccb350a57edf71200263941,Arbitrum,0xec78b1c2643657a255dd3a0ab0042501df2910e2c94b29f263d775c31027333c,0xee62471e05557f18d491f979834f9ba680965b0f,2023-04-09 01:54:49,Bitcoin Bridge,,,1681005289,128
Optimism,0x2bd28e3942faf9630204b89e414043370d43e62766308b1ccfe4e9edbe77e4d9,Arbitrum,0x989d3eff02f0fce502242e742908186af59368e5b742222dc798d49dc79eed93,0xeb5005bc5f20c52075fcea40117f2e6418546af0,2023-04-09 01:54:49,Bitcoin Bridge,,,1681005289,128
Optimism,0xb4314486569003d61f4cfa009271c40dd7eb927f0b247577b2850d6ef46287e7,Arbitrum,0xd169a670fd6d83ae2fbe9e7fe01bdbc8ffb0da453b49136eef77d46bbce0b675,0xb52fdea6caa7bc8fc01a7c082e2fb078ab876536,2023-04-09 01:54:49,Bitcoin Bridge,,,1681005289,128
Optimism,0xdc6f84ecad6c5f6245c155c86e8237456da877f2c3bae56ecd3f937aee23e873,Avalanche,0x68f50bc0cedf13e1c8448919d0897d274b04ef39d7d688ff7094ad7fabd12bbb,0xcc36dab417fbd44465caa6a13f7d0eb089d0e414,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0x006b96c853163707b434c41ba63efbcb55d6340a36f9854c90e1eda93015d8d8,Avalanche,0x88047d84d22962f005c37218ac174510ef972f6b575dc20ca7b40368cc78dc82,0x7f0118009883eb140075dc396382c0c13d618ddd,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0xec7a637cc1797a07466a60fe0b548b5e39cfb93db8df4f9c31424f96451fec06,Avalanche,0x6ec00ebabc2194983ea83af82c6205456857456076f71cd9b76e3bdaa5ed7b9f,0xe218334ddbde4436dff43c14b9b3ef6a74b2a22c,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0xe00997996a5ef25fa910ae452f5e8ab878e3ce81d82aa5705d807af3a22f0047,Avalanche,0x72188690a22a7079e196a2d1ea60308b27ea74148d3a0ec133b15a13e74fbd3e,0xa2781f6bdeb1ce4ccb04edc0f01eeaf0b7e4cceb,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0xaccaab4a57d48dcc7ef8fa13ddc63d6f0deb0f2c440c3d20114d9c49c1a426d9,Avalanche,0xc5bc5c9726efb1e376ac44d97fc2962f11b8eb912e0cd8c8132156701661bd3e,0x9623415aa36afc0f35beab8c695966158b7c1151,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0xc030775a6d1815cfd208a01e424075ea72664fb956c225182bb584a349ca3532,Avalanche,0x178ffe5ea1433abaca312dd468d3906d6dc620fbc3cdb0ac314861af89a3c4de,0x14aeea1eaa7efb078fadfbdc2094b34a4fd0dbfa,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0x53ff689a107a165f6a3095946946dd14b27df1d8728b06e64c2a803144f2b7c8,Avalanche,0x39b087bfd5e4355a704095026c9c12705449463dd1c940416ae6330ab2054df0,0xba8b5b1dbfc4d748aba5dc245617d069a5323a33,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0x7ca3520f9ba650fba7800768f01e176d9aabbf2d57c039e690f3d0eab26e61d9,Avalanche,0x853662ad47c2291e4188459550d3517fb988bbaafa10b658d09bf1cba0860a8f,0xe6222ada71cc4865b12239ec8866157c6168cff3,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0x2f452bdc31fbf0844f8b4bade9d72bd60d5b1ffc2e3ded0275ff77008947d099,Avalanche,0x042023399e3eee87e2db8fe7e28313ef0395d8932084d4d6a98c93f0553e509b,0x3df60d1ff5ca322d15b93f71797044a7fed6d955,2023-04-27 16:28:36,Bitcoin Bridge,,,1682612916,126
Optimism,0xff9df574fe7e7171b86add262df250734288499a530f595ea3978bf9efdd825a,Arbitrum,0x4434583fd796f8cfd381e8fcba4a638b27b591bfced4768acaf7e6b54f305fa0,0x8da57443e1775e94a450e2cfe8ea9ee276389c4f,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
Optimism,0xf89bdc159ed4a18a98261ba0ce452c4118e32be500cbdcc9895daf0c0c47a105,Arbitrum,0xd99da44f7b67f33c1bed64152fa821cd5a6948f765072f397e694811898734d7,0xfde54930017b9581d0a7744aaec78ad86870e991,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
Optimism,0x3be3d290b7b1581038d6ee7749a82bdb7f458326ad4acabd4ed472e1f513733d,Arbitrum,0x109b0c6524ced5801698b2e159e98197860f51cec9e6305132ee5fa4421bb4b1,0x1dfc8f65cba137453a7c02c36d2e54fa49bee917,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
Optimism,0xcb2ce75104f3a71eff6f6717a593e45c0a179d96d4cdf2ce7ead86f6b8f9fcf6,Arbitrum,0x263713a77281cda978e414f869c031b7e7973120feac83c363ac13761c700fc5,0xb67a38bb41ab41ddeb34038ba5b3edd422307150,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
Optimism,0x08fa5378dc95101db6320e83ef4980779e1fe120611d2d8b2a382632825ee828,Arbitrum,0xf5737e3d5f29d311cd1efdbe5725cf47896098c6399e601ee8727249a1ccf555,0xbe01337d7fd520a108826ba7d3a3428fe7014387,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
Optimism,0xceb480c51510adf37b50971d2b01084a629606ade9184ab2afcb37a77a2a5eda,Arbitrum,0x6ffc39f592541f7a8cd4ee7d509d0162fc7290a5f62774c4dd0fb1a19d3daab5,0x05b70140362e4aa021f125074aec91c5dbc2d2b7,2023-04-09 01:55:34,Bitcoin Bridge,,,1681005334,125
