SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Polygon,0x08c21290678827d2ba3ce7070cc7fb607d6ee0845cd9a731f1db4b4b92937fd7,Core Blockchain Mainnet,0x94f25ab34d7569d45583585a50015bf3b3816fa85887255231873a5ab8dcb0cc,0xe18a08a3932da359fac6534cbad37e8c6eee1230,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x361ae4de97af0580d36b2f2bef01a7b555d289e74bcd67888100d4ada3c67fe2,Core Blockchain Mainnet,0xd18a221359cb94eabd69e502a580c15afb508a5acc80f84de9c75a5efac7a64e,0x5a3c1553e3123e736fc7a0e01753d4a3e32f3842,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x72a4baae50cbc5c6a6787b3aaaebeb78bc837eac09bdb44a2cf628e024c277bb,Core Blockchain Mainnet,0x1b4c7eacced669a2998dc264656f3dddb227d2c86d0aa88d4fc9aa1196585e40,0xbe234f79a672b406b6ae3449f14c29b119d8e32f,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x5ee17a4dc334187147422e6899416e413eb7c98123bc2b1c872c71cd50ca8486,Core Blockchain Mainnet,0x99a08c2280defede41036e12f89ce05e917b238a58772094938177f64717ef2e,0xefb75ddadbc4ab7e927038d6e760d5ffa4ff3353,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x6a751758daefcde14415a2ae2b928d6c7ca8affb40eca530ba0de614c48ae1f4,Core Blockchain Mainnet,0xe4027572552d003a630f2d142e3c404b48a2c33343704745783f02731e259b4a,0xd631c68bce6de1993474454ddbff26396037ed37,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0xc31b63d1d2a7b777189c1d42b184faf51eb647ef66478a2c8cb9968eab04c29e,Core Blockchain Mainnet,0xb7e6039dd02d5e5392cf3e9cca554f939d6687fbc01d5391fc61703f49781f5f,0x160f4c2cdaf262ac5159c354ed28b7d58256d51b,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0xae64602e07ce66532af8a111dc4ad29da0b8b91e3bb44843eea130b9ebfb5468,Core Blockchain Mainnet,0x4f714003c782af599617ab9fc447b516ebf4c559b06fad3dee76363de8eb9fe5,0x29e2974d48b34963e6a90497112b4dbfb3f4b2ef,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0xa438fda4ca3676fa4bb8c2fa21052023117b1faabcb8ef6729f61b2c5402e153,Core Blockchain Mainnet,0x7ecd1a70a3bd0d271fabd0bd5ced5b19d0a20da755d59eab8d2a51648b8d97df,0xcfa9e5dca1c99d17a08d6767d8331b71a24ddb04,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0xc211d8f1f61b849c55b587851212a478f44b838195eac59302d25e338e3bed38,Core Blockchain Mainnet,0x0864d6c12916661dcb1e192923a5c379f16d5e8fe2233709a8657b5d71d3ef77,0xa5418c66dd66e8dbd0600cc2a0a7fc237fcd9ab7,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x1db695969c87598de461618ca3577b406b5877aa4b0f8de064a7d234b0d3095b,Core Blockchain Mainnet,0x13cc32ce37a079af5d174a59b34f3dec03549699746ad4680449f2c034a94dc2,0xf0e5c7338eac8356c6d482f997d85dce345637ab,2023-10-27 23:38:00,CoreDAO,,,1698449880,3
Polygon,0x907ecc90bc811830e60b3f168ceba59538ea2b119bb85243e26e39af5aeb9b35,Core Blockchain Mainnet,0x29d9718640cac8deb706f266fcbd4d7ce8ad7e45a6801abcfe97ac3598ecb86e,0xca8ec42e4353716614c32853e03616e5e405f2cf,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0xf70a4aef7b7de982a90b881a00aea905d5828cf879423697c913ded91072ceee,Core Blockchain Mainnet,0x42102e76e5e4ba89a923d6ba51cf438fe6bafa0715b5e7c838edb3c4667e8eb2,0xd2fe3025fcd78470170da9887bf09876adfe8d88,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x41c0a6008ee98ce00183dbe2b369e91e7dde25ec05ccabac9583159674cf31d1,Core Blockchain Mainnet,0x2844b64f08abd6f3ff2ca3e61fb19a33bc7eac9667ded45f4c9e44393c57a512,0x432995673586fbaad621f048d93e157d0ec553f1,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0xc01ae5b0f07cd05d52c51f43562c1349ca009b46e6b8d8d2046ccd2c46d90c43,Core Blockchain Mainnet,0xaf547d347b02248ba13ca7f7aaa60b7c4f4349c401a55e05af69947a9891c49b,0x50224010e846b096c94f2d13ceeeb905818a0a63,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0xecb850d20eee44edea7d14f1a625185a0963014053d5c93f9a79b630a97c62b9,Core Blockchain Mainnet,0xbab2fa757fb356e4e1f8a1e4975da6e0370bb9c6cb634bf71ca36adf35481c94,0xf1a13df541e07201a36537bd585cbd90aa8b2ade,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x3e8a7eb77ced0d8180e673d047b3428e730318b35e53f4156446d40386082de3,Core Blockchain Mainnet,0x173b612847f396ef52db4315ea17315a2a8a767bce4fac98b715085ef80491d7,0x295c6f3966395bee67f5277ce129c7168da0277b,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x2d2e52ed8ffffefbb1e2c22a60a79845a482d2cc419e4af489be05e524293164,Core Blockchain Mainnet,0x5917e84d003188bb4fe6d1cd38bff6f112f8317b05e51f864707200993acb654,0xbe84baef5e3f235ea6550a3c28bbbccca3d77f3f,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x948e4032120418d10cba15d75f044a12099d62e6b57b9add54d20872b0fb43ab,Core Blockchain Mainnet,0x8a37686c8980dcc9214913b063fd26249988dfc841a004feb462ecfdebb209ec,0x94897d48141c841ace7dbc7f9456d9f91d591323,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0xdf1dd172f1bd8ec6b197d200d5ccfce2f75fc662b0bcd348e1384a65ec8f32fe,Core Blockchain Mainnet,0x66470bb6175785efdb9ca83b9518c73e466a0320b8ae09c598527b29237f0310,0xa0eb7cd7710e480a84e61600cebdb02919754939,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x62d1144d26be2aa03921b1f51fe7d3f8fddeb744cc7ccc33353f3e75be918141,Core Blockchain Mainnet,0x03750fd8a8ed708cf5092916327b08a77997f19dbdf6e60208df744014f03b6d,0x772c7a5bca9ace61874a139fdda6356372672f8c,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x9506070df83204529b87fe897d33c40e736449bcf58987224e836312d0b03e1a,Core Blockchain Mainnet,0xd5e6f1f10600630105c7f75591d04f3afbffb0230d7780636be1bd9a64e8a74b,0xe9f3c60b51ed634115e84b58d0d34dfc61a889e1,2023-10-27 02:22:20,CoreDAO,,,1698373340,2
Polygon,0x9a6ba1637c49f9e1eb2717b79e1f5d7c8ac7f985803f277650c66f4027dcd1e9,Core Blockchain Mainnet,0xb54358b2131cbac56f116b144c7154c4fcd02aa04e6b95eef3ec563f76a09cf3,0xe725448ed3cd4a4060b1b6ecb5c9d119d2e11e73,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0xe16f19648fdf077f1a55c68607a849f1d5ed6ab61e72726f3ea71d06e9c9cc30,Core Blockchain Mainnet,0x6b6e1746ed37d5fca9bef35543893a9970e35e01598088af6fde8edd76aa3157,0x3efa71fb72084c68064c7a7a9ce2c1400f125edd,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0x2314217b507ad17007bc68521c96ef54f328e47749b0924bc4942f263d7821ba,Core Blockchain Mainnet,0xe4244052fa9dcf1480ec0cc69f7cc02b9395cd9b7bc56e4058ec49ad139da54b,0x61f1c835b1575acdeb24d2905f439f6c5e89c051,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0xeff38d8c429fb7e1ce482837bd4360f0c45f87af2f8e81df37ec1106f5f05e06,Core Blockchain Mainnet,0xa910d042786fcd6001bb0bce45fd524c91278b5f204a15e994a4a019255afdc7,0x19a7bfa64444771cc90f681b89d1076ecb1c5428,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0xdb969cbf5d0fadfde275fa8042043be30c6c3107935a90c92167198bd7b3322b,Core Blockchain Mainnet,0xe9fae74b5ebd3878cf9363ac5a69251b6135e9d1f19ec5aa41fe172e9005413a,0xdadacaccafa28de0c27f1b2d64c61271cb4cd3a5,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0x7251be0b19e5267a270c4e666c14c2e8378af16e5610952bc7afe5c2a8f43b1b,Core Blockchain Mainnet,0xbdd5bab9cf92008ae341689c5d9f4813fe6195e1282be070f00f23efc4153718,0xeb73f09887ec1ca30d64048f31e28611a08a08d7,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0xe5734ad760d46de08bcf4703e6a0989918e6001be09f14ddfff16d0a3213cbec,Core Blockchain Mainnet,0xed86a5ee42628e9fa8be28599623da91ac4eb8f3fce1dd66b632ed0876ed28cb,0x1ae2eadd81a5e32ade5c3a3bd7c71e2d992ffe81,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0xd078424dc38e47ea84d00dbf3534dfa5e7144fdcca9e6bf4baee1ac25c610dbe,Core Blockchain Mainnet,0x57bae2252de765f60ab7527a4f278f3466b153cbba42f30c6920c756799a4281,0xb01d0fbec97183ff1d05cbcdfdc36c9aa325b10e,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
Polygon,0x5a98b655b15458e5c4a0a0ab5bcb7fbcfdcd807753784ed72cc2edf9477cb915,Core Blockchain Mainnet,0xf2b59f6fa7d0c63bffd7a292e3706134da2b30586415d654e604fc203826d2f2,0xc03d71953c9867cb9b49a3f1b4cdbfcdb5d949bd,2023-12-30 19:40:38,CoreDAO,,,1703965238,1
