SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Arbitrum,0x936315cab43c993cce6487cd9e9fc44f0b3c7514b242034d13e06abadc1cef4e,Fuse Mainnet,0x55b64d27b31dce3384f452bbaa40168558638b079bcda5d365b93d4180096a2c,0x04e627184315bcce03d9d293df05057407540e97,2024-03-10 06:26:20,Fuse Bridge,,,1710051980,7
Arbitrum,0xa9f0af22ac0a55bd0f2f0497108d7cee03d0d6cc2e2ec7059ce51313130bc576,Fuse Mainnet,0xa991c52760428c01d407711bf9e1991330e748bde987aa6ae3a69f151ecb0b65,0x077a07bd1c42e80d664b132b59da076096c77c58,2024-03-10 06:26:21,Fuse Bridge,,,1710051981,7
Arbitrum,0xa59406b3fb067fb1163235523246cace5dec54f177c800ec88cd30ad52d81c44,Fuse Mainnet,0xe0001f58209c1964ffe8f56e48c4d9927c2b922f50b7f1366aaa38f32facff15,0x452bf44c9c63ed660aa85f9857c305f2aae3901f,2024-03-10 06:26:23,Fuse Bridge,,,1710051983,7
Arbitrum,0xa77a8d82a04f4e09a76bcf567248203e69014f5328014538f4645d2c93a0eb12,Fuse Mainnet,0x90cf788aae5e5b99cbbd5c3a8e8e5dc33846e3b6b7531055344628c5a7729012,0x1ff1292ecd11435f83ca440468614bada974f48e,2024-03-10 06:26:19,Fuse Bridge,,,1710051979,7
Arbitrum,0x73f56909c6f9e0f4a646263432222f3340972846de43287bf0a3117d20a1228d,Fuse Mainnet,0x480d5a6a032e07a9738c9ed728a48657a957c715f303c023ecfb4e4e3fcc2c12,0xaa9ef151c49db8628cc6a77bd87e0d7e2fb8045c,2024-03-10 06:26:22,Fuse Bridge,,,1710051982,7
Arbitrum,0x0849ad8bf0d6e209c9e0d29898b831ed0bbcefceaf68aaa5a32edd86b5b37487,Fuse Mainnet,0xe90be68a9981f0d8ce0af29b04faa7cfbb5444d0073ce8c82a62e3215256d57e,0x8190d83472ec585973f4d7597aa3cdfc733ce7c1,2024-03-10 06:26:24,Fuse Bridge,,,1710051984,7
Arbitrum,0x3114b85945a5e43c79ebdf3aa7e95505322dac8820acb53f13c6068ecd9aec64,Fuse Mainnet,0xe95cf13b74ae25bb30b75d19871a6f420c427d075d0b0292ed9dae868d346c9b,0x4e7183b4b473ccc3741568bd369256829b2db293,2024-03-10 06:26:17,Fuse Bridge,,,1710051977,7
Arbitrum,0x67426f8043654cffffb70848913c807bd5fa54be359be19d1eaf4a0d3df192fe,Fuse Mainnet,0xe3516af8fb7a63186aa096acf349de85c4d22e4105a361db7450b0f51ad1c385,0x5615bd20ed11dee4b24bb5188d309ac1feb7d6c3,2024-03-10 06:26:25,Fuse Bridge,,,1710051985,7
Arbitrum,0x2cd10fef9ed683ba237ba7236a5860c95b6988ef779c4ef27178fae1cc2a363a,Fuse Mainnet,0xdbd98423d7d1ab7f6a61b0c43e626fadf32924cd3db3e64443d3f8b0bda6af68,0x92c2b4da25e6fcf0718f3ad459b9392523e23fd6,2024-04-11 13:05:35,Fuse Bridge,,,1712840735,6
Arbitrum,0x098e2dfe173014df8d7908ac878c90e901cb1cff045254b58aab0750db19873a,Fuse Mainnet,0xb44b680829251329875156a214e04cb8a0db9811631b4d65ed1df7d3f02c3909,0xaac0f2904392a3254d939cffd8bbbf334561ab1b,2024-04-11 13:05:36,Fuse Bridge,,,1712840736,6
