SOURCE_CHAIN,SOURCE_TRANSACTION_HASH,DESTINATION_CHAIN,DESTINATION_TRANSACTION_HASH,SENDER_WALLET,SOURCE_TIMESTAMP_UTC,PROJECT,NATIVE_DROP_USD,STARGATE_SWAP_USD,SOURCE_TIMESTAMP_NUMERIC,Cluster_Label
Base,0x03490463fe9e7d277e7c7ea63e95323d09abbe9a20f5204aca818ad4eb830787,Astar,0x859044ff9d00929a3832e9bc6cdfff522bdd6b3e85357af628e009b206be0a26,0x0ae4e8a68b6fc83806fb2bec379d145bf37a87b4,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0xcdadbfe00fb0e2a5897e6196caf93a6b51dc6f19bb6c047c1985f28d22279378,Celo Mainnet,0x889ee367edb14970cfe059c114ddb340191b0b92d6571b30cf15401882276391,0x3125a38e4122df75f2d9b314cfaa4c5bec6b7d87,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0xc40fc73e63b3678e25865917543e0e656f249ad7be6701065dfaa4fc602b78dc,Arbitrum Nova,0x23340ee1bffd136988ef48434d4d060d9da639a44a9a62aeb7483ffd7f2503ce,0xbc2cce3f564ac8190871851f200b49cba3ee7065,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0x7b90928613ab610e4d13560df02f22e5b9f09d7a70e22984961b0a62b6883d22,Arbitrum Nova,0x3e3dae16e58378f1aa1ad4a4e1c31d0428887498304ee9f87eb30af67dbe2394,0xd92a1bbe613898f119e0273ca1919123e6d1011e,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0xcff52a67af1e85b0f2f621dc9784207a7fa8c47094bd08deeaf0c3af49be2ae2,Celo Mainnet,0x86c197cac773945256ac857211e4033d0350c209f04f0ce33b6035326ce3eb18,0xc83f6fc04cc927a001d64e26e064807e2e752ac0,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0x35c14853aa940c891aa12dd0af73e962985b20490fbd85578d493d22ab9dd11b,Celo Mainnet,0x9d90b0b4f440b694e4f1ba73f078a86c1289221c7d32069d3ab193d9a874e89f,0x26652ca92582a06cc2c5361c65b7b29ed34ae2c2,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0xa7f0cd956ec6d955949be584725d68d5b16bb59816196f60ad4559f82d9c08a5,Astar,0x6bcf74b66f5eaf7b7bd45ae09c2808db7ec8545461b1ad410fa13b257176afa1,0x9f117a1449b77e7ded42a7901f86aeccce484db6,2024-03-12 11:30:53,Gas.zip,,,1710243053,5560
Base,0x0ca6a1c0875adad19bc0c4731861697cba41288e3c43d9745277ca214d7ac9e7,,0xff472f8d2deb14c76b95c7ebfb72ed28dfa3899d12fc5d5a795e7bafc7dcbc95,0x3f09e37537763b238c43c869e2cfd839337ecbb2,2024-03-01 05:46:19,Gas.zip,,,1709271979,5498
Base,0xc9a0dc77ec6b2cb5f49eee059982a0200ba62633ff0325894cd02edf7cb8c20f,Klaytn Mainnet Cypress,0xead9f6cb9cce1699f7474f009f31456abc5422558a5fbc534199ef7d5c84c7ff,0xcf414ad6dd22a7fd05fa399bfa0c391982cf848d,2024-03-01 05:46:19,Gas.zip,,,1709271979,5498
Base,0x425fe5b970359317f7aaae648dad0cb427ec9e39f6264c24bc0f6c6d774e2132,Viction,0xcb9bbe1a1fab85fa7a1472cb906f7a3991e71a88d1de2b0c0db5892bafd0a6f3,0x02048bce8bfc14ced929decfac82eeafb5b79abe,2024-03-01 05:46:19,Gas.zip,,,1709271979,5498
Base,0x1de2f84a35728d0cfbf6e3b349c29ea7c9b03f81ac64eeaf4cb5bb8fc814a63d,,0x58b0ffcf38e068abf82cb23ee52da9c9743be52a068f4dfe96a8d2371cda15ca,0xcdb0f6a24867b5906320288a4c4834bf2e7e2e3d,2024-03-01 05:46:19,Gas.zip,,,1709271979,5498
Base,0xd19a8a5ff33a026ebb3479f4fbef8e05a82e0bb47647cdda1c4690914e4e244c,Klaytn Mainnet Cypress,0xf47c94512f60bfec99dfdea1b96a1534ffc7c278947beb11cd1d5c8cc14546ef,0xec057b53b051e2d8c0df912cb76805c54bf5ca98,2024-03-01 05:46:19,Gas.zip,,,1709271979,5498
Base,0xb8f12c7b9e721881c60d8c97c11ca02a24cf4bcf79ed4a075c80dc00c2816451,Moonbeam,0xf4d9e5a5318c1bbd779b62db334d7cf2543c3c5fc68d7109cb4a7f92fb2bf195,0xad5780fb7500109e0a950b86e7c323548e470ba2,2024-03-24 20:20:35,Gas.zip,0.518461234,,1711311635,5205
Base,0xa03ae8198437ee10d4fdc9e2d42ef5b5e05ed2e6ac75df4fa1d9a75efccbe3b2,Fuse Mainnet,0x03961829edd21fefc725c9e6595531945e8aba5a0b49a8e9c5b6a5f392702f33,0xe3127148ecf48524cc0674f604dbb799fe60e3e8,2024-03-24 20:20:35,Gas.zip,0.004088342853,,1711311635,5205
Base,0x2930ab57d165f477b54333d18f299526c6b45be196f02747a1635a15951b7dc4,Moonbeam,0x1bfe0c98933a91b27c900531696c9ceb15e955188cea849506ee32e54ee51bd1,0xcb187d6b8156f19bdc20d62896c0d94a846297ec,2024-03-24 20:20:35,Gas.zip,0.518461234,,1711311635,5205
Base,0xa1ca908974d94c7d8eadf4061260f64cac8a4792c101cab85279da072d1e6c84,Fuse Mainnet,0x726f64e14f493d280179400cf60a71a2cee1e5c9a79460b62c9c201b03803c63,0xd7d7c211139c5bcd28762d46c4ee860fbed6bec7,2024-03-24 20:20:35,Gas.zip,0.004088342853,,1711311635,5205
Base,0x370b7a0116ab1e808e2abcfbbf226c27be852630a61f99520db8a94e1252cffa,Fuse Mainnet,0x3ff8a192709075d6ce6ab663b45aef40dc9bf81f76fef34458d9c3a2fde68845,0x7af1c7af37358911e0401fbc9026af224ca91e33,2024-03-24 20:20:35,Gas.zip,,,1711311635,5205
Base,0x66960faab0e0aa9b211020059b2ebe8af1af4b4f01a270811a2b840aaf7d24a9,Celo Mainnet,0x796f33c4378de2c551847ef4b1d623c4a96339a23358af479fb0ee7a16a123d3,0x3e2937f860ee1f625ee8fdd91161a7ad76fccaff,2024-03-24 20:20:35,Gas.zip,0.05491715022,,1711311635,5205
Base,0x511afef054be5350b9e7ad0696ef332481e80ce6a7592451c523768edff19ca8,,0xe0cb86ab1e3a9060a79376440ea0d6098c323fc790cad48b1ca5bd186abd6252,0x91eb082d574cf2bb8ee5838c37f2ba3c9ced9eb7,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0x6796e8cba99f453d124eabc2f9abc16e3b4359954918d150d5c7a04dc2e8ea38,Celo Mainnet,0xd2b1e8a4bed827bd39805f11cd86ef297c12f709f99a17913ccf0001cef600bb,0xdc14f471e3cd7600f7046064c3d2fd8265a017d9,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0x0dc9b5c7ee90471c7a880cb48ca7de3bde88f8016fe1d4d64bdb7d89fc4521a9,,0x2864192b078f5c3239a4485cd6caaf8569228df19cbf3c6fb7348766145ffd4e,0x89e86b9f136341d57f7c68ab6e63d8f14d727f97,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0xf664923b5d5077b02bf311a1cf70f12d0b893fbe4ca521627280eb2637dec110,,0xa163d1a04d67914a8679c478641ad6808c1a3f092436888a887ef5660c700826,0x5c7f3e6a1631ab41fd94f1bc47d7a18fb6134e5f,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0x2ee132e7b575deb51d221f5e575cb0dcd874f2f19834087dda3f68ec785e8f07,Klaytn Mainnet Cypress,0x220288dc29968d52dd2433f07e36fcade9f529f49efb7f4b4be875c58f69af90,0x0ba77b882792df1aab5447caf256b63230a5b402,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0x2c0d26a1769b39bc33d5de2533a01f9dcf63dc08034514cc66f2fbab6a15ad1a,Klaytn Mainnet Cypress,0x50ea0b9e7e11f77d2e453b00e78403c2ab6a26f383778806ef3d8c2a9c4d0793,0xb31e681985c4ec8910c765e232ae8701570c84ce,2024-03-01 03:11:47,Gas.zip,,,1709262707,4840
Base,0x981555257ca977850d092bcfcb394e54e93ebd4ed34c7d6c33bb785b17a07956,Gnosis,0xf242992958c278fa5d0f1305c1f4da4506bdbb243f623a8f396de6274a27ae30,0x921a69201aacc40f7ca8bad2f2905f04f4841631,2024-02-12 06:54:25,Gas.zip,1.000089657e-06,,1707720865,4613
Base,0xb8f211ba959460744011e8e4ef60e587b7d8721826bd77b04b927817fc6bf674,opBNB Mainnet,0xc2a918ec3a76eb47ee5cd17f7c8fa989cae64302e36fd869be33781a395c985c,0x9c96c448b925c535b2af3ffc4ee4198bb1cd3e7e,2024-02-12 06:54:25,Gas.zip,0.0003161650241,,1707720865,4613
Base,0xc5aedfd7cc2fb00062cfbabc1e304f3d39ce31c41fa396695961d75c272a9cca,Moonriver,0x11b6ee6a3ebe9877b51e645ca89d82d65cc0aacd6a54e504e547fe2a1fc8c780,0x73a4b60d0c3855577377b6880778717d8529cf8a,2024-02-12 06:54:25,Gas.zip,2.26461519e-05,,1707720865,4613
Base,0x68e61e4a5ed5a04276669d0c36d5c8a3d083bc9383bfd4c87d974cb8fc689616,Zora,0x3c24526767659946a64af52614699acdd6f1a86722183272ee80e9a85c93fa6f,0x3a9de473dedc9a034ad726843046536db57d10bb,2024-02-12 06:54:25,Gas.zip,0.002488636085,,1707720865,4613
